11FzUjNXCTjN_9CcpO0gU3E9qypdsxJHx	1I0FHsihEhMgy7q68UDnvAmT2qAw5syMd	folder	05_optional-adding-data-to-your-resume
1hAEH9pZODZ4whgjC-udcQtjFmXV7Swcf	1EL9OOWVXdSE3MIjprb-ad8_CiBNCp6Zi	folder	01_organizing-data-to-begin-analysis
1dblIZsyn0K5VBsHLunR94JkFvWkQj-Mm	1EL9OOWVXdSE3MIjprb-ad8_CiBNCp6Zi	folder	02_formatting-and-adjusting-data
1ul2dtlyzDuXbSfS3E_nQ_WEAlrS_rXtG	1EL9OOWVXdSE3MIjprb-ad8_CiBNCp6Zi	folder	05_Resources
1XNJAJTHCf1xzBV0R4EM9KlYnLJPeMnOy	1EL9OOWVXdSE3MIjprb-ad8_CiBNCp6Zi	folder	04_performing-data-calculations
1FjLWP8oe5zu6Wf9G2rSjKQRahTZxHCpZ	1EL9OOWVXdSE3MIjprb-ad8_CiBNCp6Zi	folder	03_aggregating-data-for-analysis
1pOJ6uOJ2U3JUQKJ7klgRjjSxzzIJwCuy	1mXJwQ-UeM9_kc2XACX17O1HnfAzxNVSR	folder	04_always-remember-the-stakeholder
1d3qA-8BN24a7Po-QaXR72rbGnCRLKcgu	1mXJwQ-UeM9_kc2XACX17O1HnfAzxNVSR	folder	03_more-spreadsheet-basics
1dCfEcVoVaKEvzPhpMGDVx73ntVlDVlGJ	1mXJwQ-UeM9_kc2XACX17O1HnfAzxNVSR	folder	01_effective-questions
1hJ_xSnEom5HzFJkExJnjxzNMpkRnoP5P	1mXJwQ-UeM9_kc2XACX17O1HnfAzxNVSR	folder	02_data-driven-decisions
19WMeny3wrGIzUbyCfdMW5v3yec9Dw0ij	1mXJwQ-UeM9_kc2XACX17O1HnfAzxNVSR	folder	05_Resources
1gUyRSrCEFzEFaQunRZoh_tGtHhK3bpSz	1gl2G1GgZ4kVg29-3_6hAeFW7JuXMP7wp	folder	07_Resources
1BWxsUm1wwckM_l0NejpgcrD4vpnSbNPo	1gl2G1GgZ4kVg29-3_6hAeFW7JuXMP7wp	folder	06_course-challenge
16yrbRVLY2GYQ4Ps6wkrKGx8oGmOXyvRx	1gl2G1GgZ4kVg29-3_6hAeFW7JuXMP7wp	folder	02_bias-credibility-privacy-ethics-and-access
1doxKbvwmIGKF8Prss3DBHnzkoY-LCumz	1gl2G1GgZ4kVg29-3_6hAeFW7JuXMP7wp	folder	03_databases-where-data-lives
1lnIV9C37gfMmIKjNG7QIak_KtL4aUNqy	1gl2G1GgZ4kVg29-3_6hAeFW7JuXMP7wp	folder	04_organizing-and-protecting-your-data
1dR6KnToJPURdBocD_nnbSh5N8SeqXUSG	1gl2G1GgZ4kVg29-3_6hAeFW7JuXMP7wp	folder	01_data-types-and-structures
1oQjNQxr8DumkxbXVxgb3E5BlkNXZuvnr	1gl2G1GgZ4kVg29-3_6hAeFW7JuXMP7wp	folder	05_optional-engaging-in-the-data-community
1qPx4iuo9dedZOkeKWzAF4YCkeUI6ylhw	1ngzqQutRTWiz2XA7ETQt5OHFADTm7mmw	folder	02_all-about-analytical-thinking
10i2RlQN6emD26ixRsOKYLVFMLYVLNhnP	1ngzqQutRTWiz2XA7ETQt5OHFADTm7mmw	folder	01_introducing-data-analytics
1G3z2p4CioLS8mbSlbOG0wnia5vlC71eU	1ngzqQutRTWiz2XA7ETQt5OHFADTm7mmw	folder	05_endless-career-possibilities
1ublLhPELqiR5uh7HaLuanfQ4HeXp6YoV	1ngzqQutRTWiz2XA7ETQt5OHFADTm7mmw	folder	04_set-up-your-toolbox
1nGJUt_3Rf7-mNGv0pD3sR18BsM0p7ZDn	1ngzqQutRTWiz2XA7ETQt5OHFADTm7mmw	folder	06_Resources
1z_-VZuxZeSLOQwmyFoikR8qqzcGjros3	1ngzqQutRTWiz2XA7ETQt5OHFADTm7mmw	folder	03_the-wonderful-world-of-data
1SA6UzU5vkVheXFPIAHjEw_hX4uvfXnmB	1_cfjawz2e9pVVHvPlMQPxvbk_nSIp5At	folder	01_program-wrap-up
1HEpwl7Bsy1NtNaM-ySCUXsEc00am1beg	1LV0VK6kL0UlzG4pbKCtJ1jGQnIXpGLy0	folder	03_case-study-track-2-choosing-your-own-questions-and-dataset
13zvakhfTGyL1LEe1o-dn2VUaBNB5JjMl	1LV0VK6kL0UlzG4pbKCtJ1jGQnIXpGLy0	folder	04_sharing-your-case-study-and-portfolio
1vY5IAReXC5YQUYXTe2HjzTj2rT2CFC5O	1LV0VK6kL0UlzG4pbKCtJ1jGQnIXpGLy0	folder	02_case-study-track-1-working-with-existing-questions-and-datasets
15BrbDIigVcOSoM-HpOZGjW-fXLVzeCZc	1LV0VK6kL0UlzG4pbKCtJ1jGQnIXpGLy0	folder	01_getting-started
1GEm7WSQIeq76VixGgmGHMAJqvLV2IYH8	1ZT3KMGlDBNjlqSBMBEwh74FR2GZcH8mA	folder	01_introduction-to-the-capstone
1TCNHXk6-YupP79k2e6M_MBeVAdVPICJS	1ZT3KMGlDBNjlqSBMBEwh74FR2GZcH8mA	folder	02_sample-cases-for-data-analysts
14kcQpI7wl2DbjaIZ5l9XEa1Z4UV4GD1C	1_CshdhSCzHaEzdvy1RR8-rdGlJXGuGt3	folder	03_before-you-go
1crmAuWdGPo9cX5eRcir7nUz0HjhsXdaB	1_CshdhSCzHaEzdvy1RR8-rdGlJXGuGt3	folder	02_in-the-interview
1_XTc8VlP404IUQ4yt2nMV_wENH7DJbo9	1_CshdhSCzHaEzdvy1RR8-rdGlJXGuGt3	folder	01_sharing-your-work-with-recruiters
1hwIB2zPRU_CjfOC7QQ_0UeRnz18O3_9E	12F3BMD5ysT7csjbi9c33OkCkD_CdyVoT	folder	02_explore-coding-in-r
